,"Unnamed: 0","haul","net","category","depth","o2","salinity","temp","volume","depth_layer","D_N","on_off","abundance","biomass","latitude","longitude","integrated_abundance","integrated_biomass","station"
95,95,"mn04","n5","Calanoida",12.9462798821,151.2555683434,35.2975588235,19.0531323529,13.1911764706,21.3769361532,"N","onshore",328.7803790412,13.3077979993,-10.778,-78.27,7028.3171711754,284.4799481706,"station 2"
100,100,"mn05","n1","Calanoida",109.0876114984,8.5668699766,35.0527706422,14.6772752294,15.7981651376,41.8366855664,"N","offshore",33.7380952381,7.5020092165,-12.412,-77.813,1411.4900820843,313.8592007061,"station 3"
105,105,"mn05","n2","Calanoida",77.7596909951,14.4641113421,35.1610103093,15.7011030928,12.6082474227,16.8961147699,"N","offshore",1247.1201962388,25.8568167524,-12.412,-77.813,21071.4859675473,436.8797434336,"station 3"
110,110,"mn05","n3","Calanoida",60.6835787387,50.6847317282,35.252744,16.621592,14.768,20.1777813715,"N","offshore",644.6370530878,29.7918099775,-12.412,-77.813,13007.345521143,601.132628386,"station 3"
115,115,"mn05","n4","Calanoida",42.7383733641,133.4943304752,35.3602432432,18.0581081081,8.0810810811,14.3145134698,"N","offshore",391.6555183946,28.732921128,-12.412,-77.813,5606.358193599,411.2977865149,"station 3"
120,120,"mn05","n5","Calanoida",17.9624029505,210.3879645948,35.5126238532,20.2519541284,13.623853211,34.1004679313,"N","offshore",191.428956229,6.9082865373,-12.412,-77.813,6527.8169830032,235.5758035242,"station 3"
125,125,"mn06","n1","Calanoida",108.9537315426,3.5884421128,35.0387777778,14.4162698413,12.2063492063,40.842682636,"D","offshore",40.7984395319,12.9556059085,-12.414,-77.812,1666.3177178441,529.1417004774,"station 3"
130,130,"mn06","n2","Calanoida",79.4652560801,9.8924068829,35.1353953488,15.6015193798,14.6356589147,18.9832035375,"D","offshore",98.3898305085,8.4688279521,-12.414,-77.812,1867.7541785624,160.7654847393,"station 3"
135,135,"mn06","n3","Calanoida",60.3038433123,97.2656148664,35.2775855856,17.1612792793,12.3423423423,19.1837924745,"D","offshore",107.9211678832,22.7490254889,-12.414,-77.812,2070.3372882801,436.4125839772,"station 3"
140,140,"mn06","n4","Calanoida",42.9600535998,187.1433131155,35.4623536585,19.5097195122,9.8536585366,14.6127217093,"D","offshore",241.7376237624,46.2679823958,-12.414,-77.812,3532.4446227056,676.1011508006,"station 3"
145,145,"mn06","n5","Calanoida",19.3034410961,213.8435448822,35.5282926829,20.284402439,10.8780487805,33.8021225504,"D","offshore",510.7533632287,33.0030239643,-12.414,-77.812,17264.5477768801,1115.572260575,"station 3"
150,150,"mn07","n1","Calanoida",45.5373659159,12.397393362,35.176046875,15.8666875,10.296875,9.1453103264,"N","onshore",26.9013657056,6.4352389174,-12.212,-77.439,246.0213375823,58.852256924,"station 4"
155,155,"mn07","n2","Calanoida",38.4363422265,28.6020902967,35.2325322581,16.5865,10,3.1810731014,"N","onshore",177.7,13.4960849431,-12.212,-77.439,565.2766901107,42.9320327861,"station 4"
160,160,"mn07","n3","Calanoida",33.7684245391,60.5081598922,35.283761194,17.0734029851,11.3880597015,6.0640602372,"N","onshore",303.0366972477,15.7905667692,-12.212,-77.439,1837.6327861982,95.7549480683,"station 4"
165,165,"mn07","n4","Calanoida",29.0134088978,104.1081501968,35.3334285714,17.5365396825,10.3333333333,5.1695094482,"N","onshore",260.1290322581,17.7071288538,-12.212,-77.439,1344.7394900076,91.53716991,"station 4"
170,170,"mn07","n5","Calanoida",13.8387712176,163.8267516106,35.3338253968,18.2710793651,12.746031746,24.2587289779,"N","onshore",445.00124533,16.0366245903,-12.212,-77.439,10795.1646053091,389.0281296577,"station 4"
175,175,"mn08","n1","Calanoida",48.01184261,115.7106813089,35.3251566265,17.6618433735,14.5662650602,9.9404535285,"D","onshore",356.3713813069,53.7685835258,-12.212333,-77.439,3542.4931547786,534.4841058332,"station 4"
180,180,"mn08","n2","Calanoida",39.838796702,144.1269368819,35.3824883721,18.0801860465,8.0697674419,4.970407446,"D","onshore",443.878962536,35.2905035671,-12.212333,-77.439,2206.2593005129,175.4081817031,"station 4"
185,185,"mn08","n3","Calanoida",34.8140984293,148.9143324112,35.3809298246,18.2039473684,9.8596491228,5.7658235734,"D","onshore",530.2419928826,24.0280765472,-12.212333,-77.439,3057.2817821764,138.5416501798,"station 4"
190,190,"mn08","n4","Calanoida",28.8477514842,180.348161919,35.3126818182,18.6082045455,7.1363636364,5.5671586225,"D","onshore",551.2611464968,28.3694340101,-12.212333,-77.439,3068.9582449505,157.9371391636,"station 4"
195,195,"mn08","n5","Calanoida",14.1026206469,191.0295083191,35.2835777778,18.6625944444,27.15,24.7558280795,"D","onshore",599.8895027624,16.0774686318,-12.212333,-77.439,14850.761397089,398.0110494033,"station 4"
200,200,"mn09","n1","Calanoida",32.3547625831,1.9996961674,35.1395384615,15.7944903846,17.0192307692,15.0100313329,"N","onshore",4.6418079096,0.5107785558,-14.001,-76.66,69.6736821647,7.6668021265,"station 6"
205,205,"mn09","n2","Calanoida",21.9824529557,2.8553826313,35.1433095238,15.9863809524,6.9761904762,5.765737439,"N","onshore",39.8498293515,4.2149424296,-14.001,-76.66,229.7636530318,24.30225137,"station 6"
210,210,"mn09","n3","Calanoida",16.4036285999,30.5851455258,35.1683108108,16.5161486486,12.0540540541,4.5729460057,"N","onshore",18.831838565,2.3471384607,-14.001,-76.66,86.1169809465,10.7333374489,"station 6"
215,215,"mn09","n4","Calanoida",11.1446651867,79.7201610661,35.16065,16.8034625,10.7875,6.7601973235,"N","onshore",87.0451911935,8.5478810066,-14.001,-76.66,588.4426685327,57.7853623027,"station 6"
220,220,"mn09","n5","Calanoida",4.6053282799,117.1789383901,35.1569032258,16.9247096774,4.0322580645,5.8656573999,"N","onshore",63.24,6.9170949617,-14.001,-76.66,370.9441739685,40.5733092478,"station 6"
225,225,"mn10","n1","Calanoida",34.1928022208,1.9991071884,35.1235238095,15.7967142857,6.619047619,16.7992421657,"D","onshore",17.071942446,2.3507462511,-14.0015,-76.66,286.7956953898,39.4907555425,"station 6"
230,230,"mn10","n2","Calanoida",21.2312576149,4.0782762605,35.1328125,15.9669375,2.4375,6.6604485789,"D","onshore",119.7948717949,20.4926828753,-14.0015,-76.66,797.887583604,136.4904605344,"station 6"
235,235,"mn10","n3","Calanoida",14.6390545776,25.3483629983,35.1483333333,16.3343333333,1.75,5.1694625799,"D","onshore",826.2857142857,27.6480792278,-14.0015,-76.66,4271.453080315,142.9257109746,"station 6"
240,240,"mn10","n4","Calanoida",8.9322943282,97.2364302487,35.1628461538,16.6924615385,1.9230769231,5.7661040529,"D","onshore",702.52,10.3538354967,-14.0015,-76.66,4050.8034192287,59.7012928205,"station 6"
245,245,"mn10","n5","Calanoida",3.728207932,146.2830688205,35.1487,16.8539,1.2,4.4738197081,"D","onshore",283.3333333333,26.7034331349,-14.0015,-76.66,1267.5822506207,119.4663454323,"station 6"
250,250,"mn11","n1","Calanoida",52.8934283003,2.9288010291,35.142921875,15.58203125,10.09375,15.604815804,"D","offshore",12.8792569659,0.4451138346,-14.297,-77.169,200.9784326456,6.9459194001,"station 5"
255,255,"mn11","n2","Calanoida",39.428902249,17.95664722,35.1686309524,15.9999761905,15.4761904762,10.4370044163,"D","offshore",192.1661538462,2.0374329779,-14.297,-77.169,2005.6389963634,21.2646969888,"station 5"
260,260,"mn11","n3","Calanoida",31.2831152646,24.6353639164,35.1745365854,16.1487073171,6.8780487805,6.7594863123,"D","offshore",638.4078014184,2.4457443686,-14.297,-77.169,4315.3087953635,16.5319755829,"station 5"
265,265,"mn11","n4","Calanoida",23.9625041026,62.012897063,35.1759607843,16.630745098,7.2156862745,7.3561648253,"D","offshore",194.160326087,1.4316288008,-14.297,-77.169,1428.2753612297,10.5312974273,"station 5"
270,270,"mn11","n5","Calanoida",12.0253780376,121.9856942191,35.1696078431,16.9221960784,4.7058823529,18.2921755233,"D","offshore",226.1,3.2401446574,-14.297,-77.169,4135.8608858197,59.2692947947,"station 5"
275,275,"mn12","n1","Calanoida",52.8321662715,0,35.1230733945,15.6539541284,21.3394495413,16.0023603584,"N","offshore",0,0,-14.277,-77.177,0,0,"station 5"
280,280,"mn12","n2","Calanoida",40.2431040202,2.222521155,35.1692054795,16.2761643836,14.9452054795,9.7411974302,"N","offshore",8.8991750687,0.8817320237,-14.277,-77.177,86.6886213107,8.5891257235,"station 5"
285,285,"mn12","n3","Calanoida",31.4464660256,104.5909378917,35.1839130435,17.1107391304,9.8043478261,7.1570930315,"N","offshore",368.7139689579,3.9461624431,-14.277,-77.177,2638.9201778494,28.2430517225,"station 5"
290,290,"mn12","n4","Calanoida",24.4618712808,137.5971752691,35.1787083333,17.2597916667,11.1666666667,6.6602971283,"N","offshore",99.3134328358,1.6417281867,-14.277,-77.177,661.4569715176,10.9343975274,"station 5"
295,295,"mn12","n5","Calanoida",12.3957693195,145.6316653042,34.6554328358,17.2709701493,15.4179104478,19.6839436335,"N","offshore",91.5818005808,10.2040646348,-14.277,-77.177,1802.6910004902,200.8562331051,"station 5"
300,300,"mn13","n1","Calanoida",95.1080217704,9.072076726,35.0709622642,14.8774716981,8.3773584906,12.7191192829,"D","onshore",243.7522522523,7.3032103892,-15.424,-75.444,3100.3139718747,92.8904040887,"station 8"
305,305,"mn13","n2","Calanoida",77.5831787694,25.6925304353,35.0884173228,15.2201653543,20.5905511811,22.5585018157,"D","onshore",183.1908221797,3.5638304113,-15.424,-75.444,4132.5104947631,80.394674805,"station 8"
310,310,"mn13","n3","Calanoida",57.9536341316,19.7285103338,35.1442184874,15.8370756303,20.7142857143,16.7962420028,"D","onshore",125.324137931,4.4465787931,-15.424,-75.444,2104.9745494823,74.6858134933,"station 8"
315,315,"mn13","n4","Calanoida",43.032209301,98.8555745,35.1911370968,16.8416854839,21.9193548387,15.406069193,"D","onshore",363.6055923473,26.2850272833,-15.424,-75.444,5601.7329146766,404.9489490666,"station 8"
320,320,"mn13","n5","Calanoida",19.2411617344,202.2729116,35.1963298969,17.7450824742,19.8659793814,33.2015302121,"D","onshore",1855.1816294759,10.4635677829,-15.424,-75.444,61594.8689199182,347.4064618716,"station 8"
325,325,"mn14","n1","Calanoida",94.5288196802,4.4566292126,35.0536410256,14.6338717949,5.4358974359,10.4337137162,"N","onshore",30.9056603774,7.4502440425,-15.43,-75.44,322.4608125865,77.733713455,"station 8"
330,330,"mn14","n2","Calanoida",75.4159653508,42.4696247469,35.0807102804,15.1992476636,35.0607476636,21.5646894001,"N","onshore",750.5544448887,5.6265714215,-15.43,-75.44,16185.4734818638,121.3352650911,"station 8"
335,335,"mn14","n3","Calanoida",58.5747321267,59.2557218682,35.1785486726,16.2630442478,15.8318584071,18.187608018,"N","onshore",918.5276690889,11.354844504,-15.43,-75.44,16705.8211991168,206.5174609452,"station 8"
340,340,"mn14","n4","Calanoida",45.0096245358,135.9546802913,35.1960707071,17.2723232323,13.7575757576,11.0325655763,"N","onshore",978.5881057269,9.9601860327,-15.43,-75.44,10796.3374486386,109.8864055583,"station 8"
345,345,"mn14","n5","Calanoida",21.6790578319,203.8430242167,35.212742268,17.8797216495,14.8762886598,37.674244273,"N","onshore",1466.562023562,6.8582666137,-15.43,-75.44,55251.6159172245,258.380011695,"station 8"
350,350,"mn15","n1","Calanoida",73.1787478563,2.9184802425,35.1151428571,15.2460535714,45.3892857143,46.9056475748,"D","offshore",56.3569124243,1.3803550578,-15.861,-76.105,2643.4574725773,64.7464478686,"station 7"
355,355,"mn15","n2","Calanoida",48.2118369113,27.5475566796,35.1534175824,16.3942857143,13.7252747253,10.6347786459,"D","offshore",445.164131305,10.8109128376,-15.861,-76.105,4734.2219975372,114.9716649887,"station 7"
360,360,"mn15","n3","Calanoida",39.0407691034,78.2009837418,35.172625,16.9295357143,9.6428571429,3.3793925708,"D","offshore",370.3259259259,33.4008491292,-15.861,-76.105,1251.4766828463,112.8745814053,"station 7"
365,365,"mn15","n4","Calanoida",36.9994122339,138.9523004418,35.2082424242,17.5038484848,5.696969697,3.8764156218,"D","offshore",0,0,-15.861,-76.105,0,0,"station 7"
370,370,"mn15","n5","Calanoida",19.8718366815,206.3534010914,35.2495,18.0203461538,21.2692307692,33.6980856594,"D","offshore",624.1410488246,7.9034583977,-15.861,-76.105,21032.3585268614,266.3314180916,"station 7"
375,375,"mn16","n1","Calanoida",73.7747484381,1.0165243342,35.1196847458,15.271,54.5593220339,45.6136773869,"N","offshore",10.9972041007,0.5488605783,-15.86,-76.106,501.6229200047,25.0355493487,"station 7"
380,380,"mn16","n2","Calanoida",51.8279551481,29.6434406861,35.1561621622,16.4133513514,10.4594594595,7.3547671025,"N","offshore",124.3850129199,1.841255141,-15.86,-76.106,914.822801068,13.5420027382,"station 7"
385,385,"mn16","n3","Calanoida",44.6608427436,87.8085921047,35.1831911765,17.0115441176,9.9264705882,5.0689819743,"N","offshore",287.2118518519,8.1201979673,-15.86,-76.106,1455.8716998484,41.1611371241,"station 7"
390,390,"mn16","n4","Calanoida",39.0656176546,179.1232991623,35.2369661017,17.8835084746,9.2881355932,4.0751587543,"N","offshore",772.1678832117,19.8671369416,-15.86,-76.106,3146.706709078,80.9617370309,"station 7"
395,395,"mn16","n5","Calanoida",20.0887456351,207.5973549097,35.2523333333,18.0555591398,16.8817204301,35.6860002616,"N","offshore",691.0433121019,6.2223223872,-15.86,-76.106,24660.5718164576,222.0497983389,"station 7"
